chargeDeviceID,reference,name,latitude,longitude,buildingName,thoroughfare,street,town,county,postcode,countryCode,deviceOwnerName,deviceOwnerWebsite,deviceControllerName,deviceControllerWebsite,deviceNetworks,chargeDeviceStatus,dateCreated,dateUpdated,moderated,attribution,onStreetFlag,locationType,access24Hours
cfeedcdd5e287bef4b583158a12363f1,SRC_LDN60188,2 Riddons Road,51.431454,0.031175,,Riddons Road,Junction with Chinbrook Road,Leek,Greater London,SE12 9QR,gb,Source London,https://www.sourcelondon.net,Source London,https://www.sourcelondon.net,Source London,In service,2012,2015/9/2 11:28,Y,Source London,1,On-street,0
e2f964e176efb40969652e3249023645,SRC_LDN60190,ACE Cafe London,51.54121,-0.277943,ACE Cafe London,North Circular Road,Brent,Willesdon,Greater London,NW10 7UD,gb,Source London,https://www.sourcelondon.net,Source London,https://www.sourcelondon.net,Source London,In service,2012,2015/9/2 11:29,Y,Source London,,On-street,0
451bf16fff6233cca8d9ad69b31c33b9,SRC_LDN60192,Albemarle Street,51.509939,-0.142737,,Albemarle Street,,Hanover Square,Greater London,W1S 4BS,gb,Source London,https://www.sourcelondon.net,Source London,https://www.sourcelondon.net,Source London,In service,2012,2015/9/2 11:31,Y,Source London,1,On-street,0
9165d83699e3d014274f4737d169a2a0,SRC_LDN60193,Alcorn Close,51.37852,-0.202034,,Alcorn Close,,North Cheam,Greater London,SM3 9PX,gb,Source London,https://www.sourcelondon.net,Source London,https://www.sourcelondon.net,Source London,In service,2012,2015/9/2 11:33,Y,Source London,,On-street,0
e1544ee9437a8407ba1a88ad797fd3e2,SRC_LDN60194,Aldermans Hill,51.618522,-0.11167,,Aldermans Hill,,Palmers Green,Greater London,N13 4YD,gb,Source London,https://www.sourcelondon.net,Source London,https://www.sourcelondon.net,Source London,In service,2012,2015/9/2 11:35,Y,Source London,1,On-street,0
6bd1d12cb7b4668d39bd7b9d01a98bad,SRC_LDN60195,Alexandra Road/Holloway Street CP,51.469744,-0.363063,,Alexandra Road,,Hounslow,Greater London,TW3 1LS,gb,Source London,https://www.sourcelondon.net,Source London,https://www.sourcelondon.net,Source London,In service,2012,2015/9/2 11:35,Y,Source London,,On-street,0
f8411c202a5cf1e26a0eb50979857d44,SRC_LDN60196,Arnos Grove Station Car Park 1,51.616451,-0.13286,,Bowes Road,,New Southgate,Greater London,N11 1BA,gb,Source London,https://www.sourcelondon.net,Source London,https://www.sourcelondon.net,Source London,In service,2012,2015/10/15 12:32,Y,Source London,,Public car park,0
9fa0bb67ba754c1b4e5921c3bc837ceb,SRC_LDN60197,Asda Bexleyheath,51.458198,0.142816,Asda Bexleyheath Superstore,Graham Road,,Bexleyheath,Greater London,DA6 7BN,gb,Source London,https://www.sourcelondon.net,Source London,https://www.sourcelondon.net,Source London,In service,2012,2015/8/26 11:33,Y,Source London,1,Retail car park,0
47f1adc470baaf1874d79dc4144af95f,SRC_LDN60198,Asda Charlton,51.488779,0.022515,Asda Charlton Superstore,Bugsby Way,,Charlton,Greater London,SE7 7ST,gb,Source London,https://www.sourcelondon.net,Source London,https://www.sourcelondon.net,Source London,In service,2012,2015/8/26 11:31,Y,Source London,,Retail car park,0
cb306aab7cdb746c2996f02a7b7d1ce4,SRC_LDN60199,Asda Colindale,51.593928,-0.261281,Asda Colindale Superstore,Capitol Way off Edgware Road,,The hyde,Greater London,NW9 0AS,gb,Source London,https://www.sourcelondon.net,Source London,https://www.sourcelondon.net,Source London,In service,2012,2015/8/26 11:32,Y,Source London,,Retail car park,0
491ef963c5ac9a9136f60c8cb2188636,SRC_LDN60200,Asda Dagenham,51.530281,0.142523,Asda Dagenham Superstore,Merrielands Crescent,,Dagenham,Greater London,RM9 6SJ,gb,Source London,https://www.sourcelondon.net,Source London,https://www.sourcelondon.net,Source London,In service,2012,2015/8/26 11:33,Y,Source London,,Retail car park,0
c20168038c0e10c441f2c118ac418ee7,SRC_LDN60202,Asda Kingston on Thames,51.411135,-0.28965,Asda Kingston on Thames Superm,London Road,,Kingston upon Thames,Greater London,KT2 6QL,gb,Source London,https://www.sourcelondon.net,Source London,https://www.sourcelondon.net,Source London,In service,2012,2015/8/26 11:36,Y,Source London,,Retail car park,0
ddecc260427b448f88f296b1ef62b8a8,SRC_LDN60203,Asda Leyton,51.555913,-0.009736,Asda Leyton Mills Superstore,Marshall Road,,Leyton,Greater London,E10 5NH,gb,Source London,https://www.sourcelondon.net,Source London,https://www.sourcelondon.net,Source London,In service,2012,2015/8/26 11:37,Y,Source London,,Retail car park,0
